text1,text2,label,text1_mean_entropy,text1_sum_entropy,text1_n_tokens,text2_mean_entropy,text2_sum_entropy,text2_n_tokens,delta_mean_entropy,delta_sum_entropy,delta_n_tokens
"      List<Path> inputPaths;     try {-      inputPaths = Utilities.getInputPaths(jobConf, mapWork, emptyScratchDir, ctx);     } catch (Exception e2) {       e2.printStackTrace();       return -1;","      List<Path> inputPaths;     try {+      inputPaths = Utilities.getInputPaths(jobConf, mapWork, emptyScratchDir, ctx, false);     } catch (Exception e2) {       e2.printStackTrace();       return -1;",0,2.9583333333333335,150.875,51,2.8958333333333335,156.375,54,0.0625,-5.5,-3
    @Override   public void closeOp(boolean abort) throws HiveException {-    if (mapJoinTables != null) {       for (MapJoinTableContainer tableContainer : mapJoinTables) {         if (tableContainer != null) {           tableContainer.clear();,    @Override   public void closeOp(boolean abort) throws HiveException {+    if ((this.getExecContext().getLocalWork() != null+        && this.getExecContext().getLocalWork().getInputFileChangeSensitive())+        && mapJoinTables != null) {       for (MapJoinTableContainer tableContainer : mapJoinTables) {         if (tableContainer != null) {           tableContainer.clear();,0,2.203409090909091,121.1875,55,2.4411764705882355,207.5,85,-0.2377673796791444,-86.3125,-30
"          String columnType = colType.get(0); -    if (columnType.equalsIgnoreCase(""long"")) {       LongColumnStatsData longStats = new LongColumnStatsData();       longStats.setNumNullsIsSet(false);       longStats.setNumDVsIsSet(false);       }       statsData.setLongStats(longStats);       statsObj.setStatsData(statsData);-    } else if (columnType.equalsIgnoreCase(""double"")) {       DoubleColumnStatsData doubleStats = new DoubleColumnStatsData();       doubleStats.setNumNullsIsSet(false);       doubleStats.setNumDVsIsSet(false);       }       statsData.setDoubleStats(doubleStats);       statsObj.setStatsData(statsData);-    } else if (columnType.equalsIgnoreCase(""string"")) {       StringColumnStatsData stringStats = new StringColumnStatsData();       stringStats.setMaxColLenIsSet(false);       stringStats.setAvgColLenIsSet(false);       }       statsData.setBinaryStats(binaryStats);       statsObj.setStatsData(statsData);-    } else if (columnType.equalsIgnoreCase(""decimal"")) {       DecimalColumnStatsData decimalStats = new DecimalColumnStatsData();       decimalStats.setNumNullsIsSet(false);       decimalStats.setNumDVsIsSet(false);       }       statsData.setDecimalStats(decimalStats);       statsObj.setStatsData(statsData);-    } else if (columnType.equalsIgnoreCase(""date"")) {       DateColumnStatsData dateStats = new DateColumnStatsData();       Map<String, String> mapProp = work.getMapProp();       for (Entry<String, String> entry : mapProp.entrySet()) {","          String columnType = colType.get(0); +    if (columnType.equalsIgnoreCase(""long"") || columnType.equalsIgnoreCase(""tinyint"")+            || columnType.equalsIgnoreCase(""smallint"") || columnType.equalsIgnoreCase(""int"")+            || columnType.equalsIgnoreCase(""bigint"")) {       LongColumnStatsData longStats = new LongColumnStatsData();       longStats.setNumNullsIsSet(false);       longStats.setNumDVsIsSet(false);       }       statsData.setLongStats(longStats);       statsObj.setStatsData(statsData);+    } else if (columnType.equalsIgnoreCase(""double"") || columnType.equalsIgnoreCase(""float"")) {       DoubleColumnStatsData doubleStats = new DoubleColumnStatsData();       doubleStats.setNumNullsIsSet(false);       doubleStats.setNumDVsIsSet(false);       }       statsData.setDoubleStats(doubleStats);       statsObj.setStatsData(statsData);+    } else if (columnType.equalsIgnoreCase(""string"") || columnType.toLowerCase().startsWith(""char"")+              || columnType.toLowerCase().startsWith(""varchar"")) { //char(x),varchar(x) types       StringColumnStatsData stringStats = new StringColumnStatsData();       stringStats.setMaxColLenIsSet(false);       stringStats.setAvgColLenIsSet(false);       }       statsData.setBinaryStats(binaryStats);       statsObj.setStatsData(statsData);+    } else if (columnType.toLowerCase().startsWith(""decimal"")) { //decimal(a,b) type       DecimalColumnStatsData decimalStats = new DecimalColumnStatsData();       decimalStats.setNumNullsIsSet(false);       decimalStats.setNumDVsIsSet(false);       }       statsData.setDecimalStats(decimalStats);       statsObj.setStatsData(statsData);+    } else if (columnType.equalsIgnoreCase(""date"")+            || columnType.equalsIgnoreCase(""timestamp"")) {       DateColumnStatsData dateStats = new DateColumnStatsData();       Map<String, String> mapProp = work.getMapProp();       for (Entry<String, String> entry : mapProp.entrySet()) {",0,0.7681451612903226,285.75,372,0.823404255319149,387.0,470,-0.05525909402882634,-101.25,-98
"               serviceConsumerMetadata, envMap, startedInputsMap, taskReporter, executor,               objectRegistry,               pid,-              executionContext, memoryAvailable);         }       }       if (taskRunner == null) {","               serviceConsumerMetadata, envMap, startedInputsMap, taskReporter, executor,               objectRegistry,               pid,+              executionContext, memoryAvailable, false);         }       }       if (taskRunner == null) {",0,4.627906976744186,199.0,43,4.421195652173913,203.375,46,0.2067113245702732,-4.375,-3
"   private static volatile HiveClientCache hiveClientCache;    public static boolean checkJobContextIfRunningFromBackend(JobContext j) {-    if (j.getConfiguration().get(""mapred.task.id"", """").equals("""") &&         !(""true"".equals(j.getConfiguration().get(""pig.illustrating"")))) {       return false;     }","   private static volatile HiveClientCache hiveClientCache;    public static boolean checkJobContextIfRunningFromBackend(JobContext j) {+    if (j.getConfiguration().get(""pig.job.converted.fetch"", """").equals("""") &&+          j.getConfiguration().get(""mapred.task.id"", """").equals("""") &&         !(""true"".equals(j.getConfiguration().get(""pig.illustrating"")))) {       return false;     }",0,2.638333333333333,197.875,75,2.4830729166666665,238.375,96,0.15526041666666668,-40.5,-21
"     Properties props = new Properties();     if (url != null) {       String saveUrl = getUrlToUse(url);-      props.setProperty(JdbcConnectionParams.PROPERTY_URL, url);     }      String value = null;","     Properties props = new Properties();     if (url != null) {       String saveUrl = getUrlToUse(url);+      props.setProperty(JdbcConnectionParams.PROPERTY_URL, saveUrl);     }      String value = null;",0,2.6744791666666665,128.375,48,2.5293367346938775,123.9375,49,0.14514243197278898,4.4375,-1
"         metadata = getOrReadFileMetadata();         int bufferSize = metadata.getCompressionBufferSize();         int minAllocSize = HiveConf.getIntVar(conf, HiveConf.ConfVars.LLAP_ORC_CACHE_MIN_ALLOC);-        if (bufferSize != minAllocSize) {           throw new IOException(""ORC compression buffer size ("" + bufferSize + "") is smaller than"" +               "" LLAP low-level cache minimum allocation size ("" + minAllocSize + ""). Decrease the"" +               "" value for "" + HiveConf.ConfVars.LLAP_ORC_CACHE_MIN_ALLOC.toString());","         metadata = getOrReadFileMetadata();         int bufferSize = metadata.getCompressionBufferSize();         int minAllocSize = HiveConf.getIntVar(conf, HiveConf.ConfVars.LLAP_ORC_CACHE_MIN_ALLOC);+        if (bufferSize < minAllocSize) {           throw new IOException(""ORC compression buffer size ("" + bufferSize + "") is smaller than"" +               "" LLAP low-level cache minimum allocation size ("" + minAllocSize + ""). Decrease the"" +               "" value for "" + HiveConf.ConfVars.LLAP_ORC_CACHE_MIN_ALLOC.toString());",0,1.715648854961832,224.75,131,1.6431297709923665,215.25,131,0.0725190839694656,9.5,0
"             transactionalListenerResponses =                 MetaStoreListenerNotifier.notifyEvent(transactionalListeners,                                                       EventType.DROP_TABLE,-                                                      new DropTableEvent(tbl, deleteData, true, this),                                                       envContext);           }           success = ms.commitTransaction();         if (!listeners.isEmpty()) {           MetaStoreListenerNotifier.notifyEvent(listeners,                                                 EventType.DROP_TABLE,-                                                new DropTableEvent(tbl, deleteData, success, this),                                                 envContext,                                                 transactionalListenerResponses, ms);         }","             transactionalListenerResponses =                 MetaStoreListenerNotifier.notifyEvent(transactionalListeners,                                                       EventType.DROP_TABLE,+                                                      new DropTableEvent(tbl, true, deleteData, this),                                                       envContext);           }           success = ms.commitTransaction();         if (!listeners.isEmpty()) {           MetaStoreListenerNotifier.notifyEvent(listeners,                                                 EventType.DROP_TABLE,+                                                new DropTableEvent(tbl, success, deleteData, this),                                                 envContext,                                                 transactionalListenerResponses, ms);         }",0,2.614678899082569,285.0,109,2.545045045045045,282.5,111,0.06963385403752387,2.5,-2
"       cdop1.setConf(cd);       CollectOperator cdop2 = (CollectOperator) OperatorFactory.get(collectDesc.class);       cdop2.setConf(cd);-      HashMap<String,Operator<? extends Serializable>> aliasToWork = new HashMap<String,Operator<? extends Serializable>> ();       aliasToWork.put(""a"", cdop1);       aliasToWork.put(""b"", cdop2); ","       cdop1.setConf(cd);       CollectOperator cdop2 = (CollectOperator) OperatorFactory.get(collectDesc.class);       cdop2.setConf(cd);+      LinkedHashMap<String,Operator<? extends Serializable>> aliasToWork = new LinkedHashMap<String,Operator<? extends Serializable>> ();       aliasToWork.put(""a"", cdop1);       aliasToWork.put(""b"", cdop2); ",0,2.14247311827957,199.25,93,2.193548387096774,204.0,93,-0.051075268817204034,-4.75,0
"         partNames.add(part.getName());       }       AcidUtils.TableSnapshot tableSnapshot =-          AcidUtils.getTableSnapshot(hive.getConf(), tbl, true);        Map<String, List<ColumnStatisticsObj>> result = hive.getMSC().getPartitionColumnStatistics(           tbl.getDbName(), tbl.getTableName(), partNames, Lists.newArrayList(colName),","         partNames.add(part.getName());       }       AcidUtils.TableSnapshot tableSnapshot =+          AcidUtils.getTableSnapshot(hive.getConf(), tbl);        Map<String, List<ColumnStatisticsObj>> result = hive.getMSC().getPartitionColumnStatistics(           tbl.getDbName(), tbl.getTableName(), partNames, Lists.newArrayList(colName),",0,2.2279411764705883,189.375,85,2.2816265060240966,189.375,83,-0.05368532955350824,0.0,2
          // If active activities nas no instance of this callActivity then add         // last definition-        if (processInstanceArray.size() == 0) {           // Get last definition by key           ProcessDefinition lastProcessDefinition = repositoryService               .createProcessDefinitionQuery(),          // If active activities nas no instance of this callActivity then add         // last definition+        if (processInstanceArray.size() == 0 && StringUtils.isNotEmpty(callActivityBehavior.getProcessDefinitonKey())) {           // Get last definition by key           ProcessDefinition lastProcessDefinition = repositoryService               .createProcessDefinitionQuery(),0,3.65,200.75,55,3.2535714285714286,227.75,70,0.39642857142857135,-27.0,-15
          // If active activities nas no instance of this callActivity then add         // last definition-        if (processInstanceArray.size() == 0) {           // Get last definition by key           ProcessDefinition lastProcessDefinition = repositoryService               .createProcessDefinitionQuery(),          // If active activities nas no instance of this callActivity then add         // last definition+        if (processInstanceArray.size() == 0 && StringUtils.isNotEmpty(callActivityBehavior.getProcessDefinitonKey())) {           // Get last definition by key           ProcessDefinition lastProcessDefinition = repositoryService               .createProcessDefinitionQuery(),0,3.65,200.75,55,3.2535714285714286,227.75,70,0.39642857142857135,-27.0,-15
"               // reduce log level, as normally we're not interested in logging this exception               log.debug(""Optimistic locking exception : "" + exception);             } else {-              log.error(""Error while closing command context"", exception);             }              transactionContext.rollback();","               // reduce log level, as normally we're not interested in logging this exception               log.debug(""Optimistic locking exception : "" + exception);             } else {+              log.debug(""Error while closing command context"", exception);             }              transactionContext.rollback();",0,3.162037037037037,170.75,54,3.125,171.875,55,0.0370370370370372,-1.125,-1
"                                                      processInstanceConverter,                                                      variableInstanceConverter,                                                      configuration,-                                                     eventPublisher,-                                                     null));          processAdminRuntimeMock = spy(new ProcessAdminRuntimeImpl(repositoryService,                                                               processDefinitionConverter,","                                                      processInstanceConverter,                                                      variableInstanceConverter,                                                      configuration,+                                                     eventPublisher));          processAdminRuntimeMock = spy(new ProcessAdminRuntimeImpl(repositoryService,                                                               processDefinitionConverter,",0,3.9786585365853657,163.125,41,3.8525641025641026,150.25,39,0.12609443402126308,12.875,2
     private SecurityUtil securityUtil;      @Autowired-    RepositoryService repositoryService;      @Autowired-    APIProcessDefinitionConverter processDefinitionConverter;      @Autowired-    RuntimeService runtimeService;      @Autowired-    ProcessSecurityPoliciesManager securityPoliciesManager;      @Autowired-    APIProcessInstanceConverter processInstanceConverter;      @Autowired-    APIVariableInstanceConverter variableInstanceConverter;      @Autowired-    ProcessRuntimeConfiguration configuration;          @Mock     private ApplicationEventPublisher eventPublisher;,     private SecurityUtil securityUtil;      @Autowired+    private RepositoryService repositoryService;      @Autowired+    private APIProcessDefinitionConverter processDefinitionConverter;      @Autowired+    private RuntimeService runtimeService;      @Autowired+    private ProcessSecurityPoliciesManager securityPoliciesManager;      @Autowired+    private APIProcessInstanceConverter processInstanceConverter;      @Autowired+    private APIVariableInstanceConverter variableInstanceConverter;      @Autowired+    private ProcessRuntimeConfiguration configuration;          @Mock     private ApplicationEventPublisher eventPublisher;,0,1.8926767676767677,187.375,99,1.6933962264150944,179.5,106,0.19928054126167338,7.875,-7
"             assertEquals(1, taskService.createTaskQuery()                     .or()                     .taskInvolvedUser(""involvedUser"")-                    .taskInvolvedGroups(groups)                     .endOr()                     .count()); ","             assertEquals(1, taskService.createTaskQuery()                     .or()                     .taskInvolvedUser(""involvedUser"")+                    .taskInvolvedGroupsIn(groups)                     .endOr()                     .count()); ",0,2.245923913043478,103.3125,46,2.3231382978723403,109.1875,47,-0.07721438482886223,-5.875,-1
"     // advance the clock after 9 days from starting the process ->     // the system will execute the pending job and will create a new one (day by day)     moveByMinutes(9 * 60 * 24);-    waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000, 200);          // there must be a pending job because the endDate is not reached yet ","     // advance the clock after 9 days from starting the process ->     // the system will execute the pending job and will create a new one (day by day)     moveByMinutes(9 * 60 * 24);+    executeJobExecutorForTime(10000, 200);          // there must be a pending job because the endDate is not reached yet ",0,3.3258426966292136,296.0,89,3.3042168674698793,274.25,83,0.02162582915933431,21.75,6
"     // advance the clock after 9 days from starting the process ->     // the system will execute the pending job and will create a new one (day by day)     moveByMinutes(9 * 60 * 24);-    waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(10000, 200);     // there must be a pending job because the endDate is not reached yet     jobs = managementService.createTimerJobQuery().list();     assertEquals(1, jobs.size());","     // advance the clock after 9 days from starting the process ->     // the system will execute the pending job and will create a new one (day by day)     moveByMinutes(9 * 60 * 24);+    waitForJobExecutorToProcessAllJobsAndExecutableTimerJobs(20000, 200);     // there must be a pending job because the endDate is not reached yet     jobs = managementService.createTimerJobQuery().list();     assertEquals(1, jobs.size());",0,2.8477272727272727,313.25,110,2.852272727272727,313.75,110,-0.004545454545454408,-0.5,0
" 			} 			return createDirtyCheckingProxy(name, scopedObject); 		} catch (Throwable th) {-			logger.warn(""couldn't return value from process scope! {}"",ExceptionUtils.getFullStackTrace(th));+			logger.warn(""couldn't return value from process scope! {}"", ExceptionUtils.getStackTrace(th)); 		} finally { 			if (executionEntity != null) { 				logger.debug(""set variable '{}' on executionEntity#{}"", name, executionEntity.getId());"," 			} 			return createDirtyCheckingProxy(name, scopedObject); 		} catch (Throwable th) {-			logger.warn(""couldn't return value from process scope! {}"",ExceptionUtils.getFullStackTrace(th));+			logger.warn(""couldn't return value from process scope! {}"", ExceptionUtils.getStackTrace(th)); 		} finally { 			if (executionEntity != null) { 				logger.debug(""set variable '{}' on executionEntity#{}"", name, executionEntity.getId());",0,2.015765765765766,223.75,111,2.015765765765766,223.75,111,0.0,0.0,0
  *  * @author Daniel Meyer  */-public class ServiceTaskVariablesTest extends PluggableActivitiTestCase {+public abstract class ServiceTaskVariablesTest extends PluggableActivitiTestCase {      static boolean isNullInDelegate2;   static boolean isNullInDelegate3;,  *  * @author Daniel Meyer  */-public class ServiceTaskVariablesTest extends PluggableActivitiTestCase {+public abstract class ServiceTaskVariablesTest extends PluggableActivitiTestCase {      static boolean isNullInDelegate2;   static boolean isNullInDelegate3;,0,2.9655172413793105,172.0,58,2.9655172413793105,172.0,58,0.0,0.0,0
   }      public Boolean isBulkInsertable(Class<? extends PersistentObject> persistentObjectClass) {-  	return bulkInsertableMap != null && bulkInsertableMap.get(persistentObjectClass);   }    // getters and setters //////////////////////////////////////////////////////,   }      public Boolean isBulkInsertable(Class<? extends PersistentObject> persistentObjectClass) {+  	return bulkInsertableMap != null && bulkInsertableMap.containsKey(persistentObjectClass);   }    // getters and setters //////////////////////////////////////////////////////,0,2.4423076923076925,127.0,52,2.3797169811320753,126.125,53,0.06259071117561721,0.875,-1
"           didWriteExtensionStartElement = true;         }         xtw.writeStartElement(ACTIVITI_EXTENSIONS_PREFIX, customProperty.getName(), ACTIVITI_EXTENSIONS_NAMESPACE);-        xtw.writeCharacters(customProperty.getSimpleValue());         xtw.writeEndElement();       }     }","           didWriteExtensionStartElement = true;         }         xtw.writeStartElement(ACTIVITI_EXTENSIONS_PREFIX, customProperty.getName(), ACTIVITI_EXTENSIONS_NAMESPACE);+        xtw.writeCData(customProperty.getSimpleValue());         xtw.writeEndElement();       }     }",0,2.167279411764706,147.375,68,2.1666666666666665,149.5,69,0.0006127450980395466,-2.125,-1
"     taskService.complete(task.getId());          assertEquals(1, historyService.createHistoricProcessInstanceQuery().processInstanceId(processInstance.getId()).count());-    assertEquals(2, historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).count());     assertEquals(4, historyService.createHistoricDetailQuery().processInstanceId(processInstance.getId()).count());     assertEquals(1, historyService.createHistoricTaskInstanceQuery().processInstanceId(processInstance.getId()).count());     ","     taskService.complete(task.getId());          assertEquals(1, historyService.createHistoricProcessInstanceQuery().processInstanceId(processInstance.getId()).count());+    assertEquals(3, historyService.createHistoricActivityInstanceQuery().processInstanceId(processInstance.getId()).count());     assertEquals(4, historyService.createHistoricDetailQuery().processInstanceId(processInstance.getId()).count());     assertEquals(1, historyService.createHistoricTaskInstanceQuery().processInstanceId(processInstance.getId()).count());     ",0,0.9770047169811321,103.5625,106,0.9634433962264151,102.125,106,0.013561320754717054,1.4375,0
"     ProcessInstance processInstance = runtimeService.startProcessInstanceByKey(""asyncCamelProcessRevisited"");     List<Execution> executionList = runtimeService.createExecutionQuery().list();     assertEquals(3, executionList.size());-    waitForJobExecutorToProcessAllJobs(3000, 500);     assertEquals(0, runtimeService.createProcessInstanceQuery().processInstanceId(processInstance.getId()).count());   } }","     ProcessInstance processInstance = runtimeService.startProcessInstanceByKey(""asyncCamelProcessRevisited"");     List<Execution> executionList = runtimeService.createExecutionQuery().list();     assertEquals(3, executionList.size());+    waitForJobExecutorToProcessAllJobs(5000, 500);     assertEquals(0, runtimeService.createProcessInstanceQuery().processInstanceId(processInstance.getId()).count());   } }",0,1.5013586956521738,138.125,92,1.5190217391304348,139.75,92,-0.017663043478260976,-1.625,0
